"id","priority","phase","area","title","description","acceptance_criteria","test_mcp","required_skills","required_mcp","review_initial_requirements","review_regression_requirements","dev_state","review_initial_state","review_regression_state","git_state","owner","refs","notes"
"CAT-01","P1","1","backend","建立配置、目录与离线数据边界","上位替换旧配置，声明依赖，实现严格本地 JSON 目录、六星数据、历元输入和统一信息净化。","WHEN 加载附带和外部本地目录 THEN 六星及扩展卫星经严格 schema、provenance、单位和历元解析创建且无硬编码; WHEN 输入非法或含 URI THEN 启动前以安全别名、相对文件和字段路径报告; WHEN 网络被禁止 THEN Astropy 内置数据完成加载且无连接尝试; WHEN 输出错误和来源 THEN 无绝对路径、个人信息或 URL 敏感部分; WHEN 迁移完成 THEN config.py 和对应旧实现删除且 requirements 声明已验证依赖; ref: docs/specs/2026-09-17-autonomous-satellite-simulation.md:150","AUTOE2E","ponytail:ponytail;mission-code-replacement","","检查第三方上位替代、信任边界、类型和唯一常量来源。","重跑六星、外部目录、历元、断网、畸形输入、脱敏和旧路径缺失测试。","已完成","已完成","已完成","已提交","","docs/specs/2026-09-17-autonomous-satellite-simulation.md:150; typace/config.py:1; requirements.txt:1","execution_scope:approved spec 全文; claim_ledger:2026-09-17_20-12-44-autonomous-satellite-simulation.claims.json; claims:CLAIM-001,CLAIM-002,CLAIM-003,CLAIM-005,CLAIM-034,CLAIM-038,CLAIM-039; claim_coverage:39/39; claim_coverage_status:pending; evidence_level:real_e2e; production_path:covered; outcome_contract:2026-09-17_20-12-44-autonomous-satellite-simulation.outcomes.json; deferred_ledger:2026-09-17_20-12-44-autonomous-satellite-simulation.deferred.json; picked_reason:公共配置目录与数据边界阻塞全部后续模块; old_implementation:typace/config.py和solar_system单体目录路径; new_implementation:分域配置包与satellites严格本地JSON目录; replacement_contract:唯一配置来源和唯一目录加载入口; affected_callers:application celestial ui app tests; removal_targets:config.py及旧目录解析重复路径; verification_commands:CAT专项测试、全量unittest、Pyright、Black; done_at:2026-09-17; skills_used:ponytail:ponytail;mission-code-replacement; evidence:5 catalog tests passed including offline socket denial, strict schema, duplicate ID, URI rejection and sanitization; evidence:full unittest 41 passed with 3 documented platform skips; evidence:Pyright 0 errors and Black check passed; evidence:pip check reports no broken requirements; production_path:covered; risk:low epoch propagation remains explicitly assigned to WORLD-01; continue_now:ORB-01/实现轨道表示与地月几何"
"ORB-01","P1","2","backend","实现轨道表示与地月几何","实现参考系、根数转换、解析 Kepler、固定 izzo2015 Lambert 和连续 SOI 转换。","WHEN 根数和状态往返 THEN 圆偏心赤道极轨均在容差内; WHEN 二体解析一周期 THEN 状态闭合; WHEN 调用地月 Lambert THEN 只走 izzo2015 M=0 并正确映射 low/high path、顺逆行、边界和失败; WHEN 切换 SOI THEN 惯性位置速度连续; WHEN 扫描生产代码 THEN 无第二 Lambert、通用求根或 Astropy 已覆盖转换; ref: docs/specs/2026-09-17-autonomous-satellite-simulation.md:202","AUTOSERVER","ponytail:ponytail;mission-code-replacement","","核对参考系定义、SI 边界和唯一第三方算法路径。","运行奇异根数、解析周期、公开 Lambert 基准、失败映射和 SOI 连续性测试。","已完成","已完成","已完成","已提交","","docs/specs/2026-09-17-autonomous-satellite-simulation.md:202; docs/specs/2026-09-17-autonomous-satellite-simulation.md:321","claim_ledger:2026-09-17_20-12-44-autonomous-satellite-simulation.claims.json; claims:CLAIM-006,CLAIM-007,CLAIM-010,CLAIM-034,CLAIM-038; claim_coverage:39/39; claim_coverage_status:pending; evidence_level:integration; production_path:covered; outcome_contract:2026-09-17_20-12-44-autonomous-satellite-simulation.outcomes.json; deferred_ledger:2026-09-17_20-12-44-autonomous-satellite-simulation.deferred.json; picked_reason:轨道表示和SOI是传播器与规划器的公共前置; old_implementation:celestial/orbital.py自制Newton和局部旋转公式; new_implementation:physics elements kepler frames lambert soi模块; replacement_contract:SciPy唯一Kepler求根且izzo2015唯一Lambert; affected_callers:celestial orbital future world planning tests; removal_targets:自制Newton求解和重复Lambert实现; verification_commands:轨道专项测试、全量unittest、Pyright、Black; done_at:2026-09-17; skills_used:ponytail:ponytail;mission-code-replacement; evidence:5 orbit tests passed for singular round trips, 100 analytic periods, izzo2015 circular benchmark and SOI continuity; evidence:full unittest 46 passed with 3 platform skips; evidence:Pyright 0 errors and Black check passed; evidence:search confirms sole root_scalar and izzo2015 production implementations; continue_now:DYN-01/实现统一力模型与传播器"
"DYN-01","P1","2","backend","实现统一力模型与传播器","实现中心引力、地球 J2、分层大气阻力、有限推力、固定步长 RK4、解析快路径和 SciPy 事件精化。","WHEN 二体运行 100 周期 THEN 能量角动量误差受控; WHEN J2/阻力启停 THEN 进动和半长轴趋势符合公式; WHEN 月球传播 THEN 不受地球 J2/阻力; WHEN 子步跨越 SOI、地表、动压、热流或碰撞 THEN SciPy 根定位收敛且不穿透后纠正; WHEN 解析快路径条件不满足 THEN 必须使用同一 RK4 状态路径; ref: docs/specs/2026-09-17-autonomous-satellite-simulation.md:249","AUTOSERVER","ponytail:ponytail;mission-code-replacement","","检查力函数纯度、步长来源、SciPy 唯一路径和复杂谓词。","运行二体、J2、大气连续性、阻力对照、月球排除和事件收敛测试。","已完成","已完成","已完成","已提交","","docs/specs/2026-09-17-autonomous-satellite-simulation.md:249; docs/specs/2026-09-17-autonomous-satellite-simulation.md:347","claim_ledger:2026-09-17_20-12-44-autonomous-satellite-simulation.claims.json; claims:CLAIM-007,CLAIM-008,CLAIM-009,CLAIM-010,CLAIM-011,CLAIM-034,CLAIM-038; claim_coverage:39/39; claim_coverage_status:pending; evidence_level:integration; production_path:covered; outcome_contract:2026-09-17_20-12-44-autonomous-satellite-simulation.outcomes.json; deferred_ledger:2026-09-17_20-12-44-autonomous-satellite-simulation.deferred.json; picked_reason:统一传播器阻塞姿态资源世界和所有控制闭环; old_implementation:无卫星传播器且celestial仅解析展示; new_implementation:forces environment propagation唯一物理路径; replacement_contract:固定RK4和受限解析快路径共享状态且SciPy唯一事件精化; affected_callers:future vehicle world planning lifecycle tests; removal_targets:后续不得新增规划专用传播器或自制根定位; verification_commands:动力学专项测试、全量unittest、Pyright、Black; done_at:2026-09-17; skills_used:ponytail:ponytail;mission-code-replacement; evidence:6 dynamics tests passed for 100-period conservation, J2 nodal precession, continuous 0-1000km atmosphere, drag, moon exclusion, finite thrust and SciPy event refinement; evidence:full unittest 52 passed with 3 documented platform skips; evidence:Pyright 0 errors and Black check passed; evidence:force applicability predicates are shared by numerical and analytic path selection; continue_now:VEH-01/实现姿态执行器燃料与电力"
"VEH-01","P1","3","backend","实现姿态、执行器、燃料与电力","实现刚体姿态、反作用轮、RCS、主发动机、双推进剂、太阳能遮挡、电池和失电状态。","WHEN 有限燃烧执行 THEN 位置速度质量与火箭方程一致且燃料不为负; WHEN 主燃料耗尽 THEN 主发动机停止而 RCS 可独立工作; WHEN 姿态传播 THEN 四元数归一、轮饱和、RCS 卸载和机体轴余弦损失正确; WHEN 日照遮挡和负载变化 THEN 电池守恒并限制范围; WHEN brownout THEN 执行器停止而轨道继续并在恢复后要求重规划; ref: docs/specs/2026-09-17-autonomous-satellite-simulation.md:365","AUTOSERVER","ponytail:ponytail","","检查双推进剂、功耗扣除、控制饱和及无瞬时姿态修改。","重跑有限燃烧、燃料边界、姿态、轮卸载、遮挡和 POWER_SAFE 测试。","已完成","已完成","已完成","已提交","","docs/specs/2026-09-17-autonomous-satellite-simulation.md:365; docs/specs/2026-09-17-autonomous-satellite-simulation.md:395","claim_ledger:2026-09-17_20-12-44-autonomous-satellite-simulation.claims.json; claims:CLAIM-013,CLAIM-014,CLAIM-015,CLAIM-016,CLAIM-034; claim_coverage:39/39; claim_coverage_status:pending; evidence_level:integration; production_path:covered; outcome_contract:2026-09-17_20-12-44-autonomous-satellite-simulation.outcomes.json; deferred_ledger:2026-09-17_20-12-44-autonomous-satellite-simulation.deferred.json; done_at:2026-09-17; skills_used:ponytail:ponytail; evidence:6 vehicle tests passed for rocket equation finite burn, body-axis thrust, bounded dual propellant, quaternion normalization, wheel saturation, RCS unloading, eclipse, battery hysteresis and POWER_SAFE recovery replanning; evidence:full unittest 58 passed with 3 documented platform skips; evidence:Pyright 0 errors and Black check passed; production_path:advance_vehicle is the sole fuel and actuator state transition path; continue_now:WORLD-01/实现确定性多卫星世界与直觉接口"
"WORLD-01","P1","4","backend","实现确定性多卫星世界与直觉接口","实现唯一世界时钟、共享状态、命令入口、不可变快照、稳定批量更新、倍率限制和原子事件提交。","WHEN from_catalog 创建世界 THEN 所有实例共享 scenario_epoch; WHEN step 推进 THEN 按稳定 ID 冻结、计算、批量提交并返回不可变快照; WHEN submit 接收命令 THEN 返回具名结果且不暴露可写状态; WHEN 高倍率受限 THEN 显示实际倍率和原因且不丢关键事件; WHEN切换活动卫星或销毁 THEN 后台状态持续且活动控制交会集合原子一致; ref: docs/specs/2026-09-17-autonomous-satellite-simulation.md:125","AUTOSERVER","ponytail:ponytail","","检查调用代码符合领域心智模型且 UI 帧率不驱动物理。","重排目录和命令、改变渲染频率与倍率，验证确定性、后台更新、快照和事件原子性。","已完成","已完成","已完成","已提交","","docs/specs/2026-09-17-autonomous-satellite-simulation.md:125; docs/specs/2026-09-17-autonomous-satellite-simulation.md:536","claim_ledger:2026-09-17_20-12-44-autonomous-satellite-simulation.claims.json; claims:CLAIM-004,CLAIM-012,CLAIM-017,CLAIM-028,CLAIM-034,CLAIM-037; claim_coverage:39/39; claim_coverage_status:pending; evidence_level:integration; production_path:covered; outcome_contract:2026-09-17_20-12-44-autonomous-satellite-simulation.outcomes.json; deferred_ledger:2026-09-17_20-12-44-autonomous-satellite-simulation.deferred.json; done_at:2026-09-17; skills_used:ponytail:ponytail; evidence:4 world tests passed for stable-order atomic batches, forward and backward epoch normalization, named command results, direct manual replacement, immutable snapshots and effective time-warp reporting; evidence:full unittest 62 passed with 3 documented platform skips; evidence:Pyright 0 errors and Black check passed; evidence:Astropy builtin ephemeris is configured offline and evaluated once per world tick; production_path:SimulationWorld.from_catalog step submit snapshot; continue_now:PLAN-01/实现导航目标与轨迹规划模块"
"PLAN-01","P1","5","backend","实现导航、目标与轨迹规划模块","分别实现理想导航、目标优先级、轨道维持、轨道变更、固定 Lambert 地月转移、返回、离轨和避碰计划。","WHEN 导航供电正常 THEN 从快照生成类型化解且 POWER_SAFE 冻结恢复重建; WHEN 目标超出滞回带 THEN 规划有限燃烧且资源不足返回失败不改状态; WHEN提交全部高层命令 THEN 生成含转向点火 SOI 捕获和结果条件的计划; WHEN 地月可达 THEN izzo2015 初值经共享传播器和 SciPy 有限燃烧修正收敛，不可达明确失败; WHEN 单测各模块 THEN 无 UI、PID、执行器扣除或世界字段修改; ref: docs/specs/2026-09-17-autonomous-satellite-simulation.md:104","AUTOE2E","ponytail:ponytail","","逐模块检查输入输出类型、优先级、资源约束和无副作用规划。","运行导航失电、轨道维持、各高层目标、地月可达/不可达和避碰计划测试。","已完成","已完成","已完成","已提交","","docs/specs/2026-09-17-autonomous-satellite-simulation.md:104; docs/specs/2026-09-17-autonomous-satellite-simulation.md:413","claim_ledger:2026-09-17_20-12-44-autonomous-satellite-simulation.claims.json; claims:CLAIM-017,CLAIM-018,CLAIM-019,CLAIM-020,CLAIM-034,CLAIM-036; claim_coverage:39/39; claim_coverage_status:pending; evidence_level:integration; production_path:covered; outcome_contract:2026-09-17_20-12-44-autonomous-satellite-simulation.outcomes.json; deferred_ledger:2026-09-17_20-12-44-autonomous-satellite-simulation.deferred.json; done_at:2026-09-17; skills_used:ponytail:ponytail; evidence:4 planning tests passed for navigation freeze/rebuild, fixed priority, hysteresis, altitude, apsides, inclination, deorbit, avoidance and bidirectional Earth-Moon plans; evidence:finite burns use shared force propagation and SciPy root_scalar with sequential resource accounting; evidence:full unittest 66 passed with 3 documented platform skips; evidence:Pyright 0 errors and Black check passed; production_path:flight navigation objectives planning modules have no UI or world mutation; continue_now:CONTROL-01/实现制导控制执行与安全编排"
"CONTROL-01","P1","6","backend","实现制导、控制、执行与安全编排","分别实现制导、姿态控制、执行、安全监督、自动驾驶编排和手动直接控制，共用执行器与传播器。","WHEN FlightPlan 执行 THEN 制导产生姿态点火油门请求、控制器处理饱和且 execution 管理开始完成中止; WHEN玩家接管 THEN 手动输入立即形成安全过滤后的执行器请求且自主不覆盖; WHEN归还或恢复供电 THEN 旧步骤作废并从真实状态重规划; WHEN自动或手动执行 THEN 共用燃料电力执行器和传播器; WHEN审查 autopilot THEN 只编排模块且不含公式、PID、资源扣除或 UI 分支; ref: docs/specs/2026-09-17-autonomous-satellite-simulation.md:109","AUTOE2E","ponytail:ponytail","","逐模块检查控制权、优先级、安全拒绝和唯一执行路径。","重跑计划执行、手动接管归还、失电恢复、燃料不足、安全中止和共享路径测试。","已完成","已完成","已完成","已提交","","docs/specs/2026-09-17-autonomous-satellite-simulation.md:109; docs/specs/2026-09-17-autonomous-satellite-simulation.md:413","claim_ledger:2026-09-17_20-12-44-autonomous-satellite-simulation.claims.json; claims:CLAIM-016,CLAIM-017,CLAIM-018,CLAIM-019,CLAIM-020,CLAIM-021,CLAIM-022,CLAIM-024,CLAIM-034,CLAIM-036; claim_coverage:39/39; claim_coverage_status:pending; evidence_level:real_e2e; production_path:covered; outcome_contract:2026-09-17_20-12-44-autonomous-satellite-simulation.outcomes.json; deferred_ledger:2026-09-17_20-12-44-autonomous-satellite-simulation.deferred.json; done_at:2026-09-17; skills_used:ponytail:ponytail; evidence:4 control tests passed for guidance turn-before-thrust, quaternion controller saturation/anti-windup, shared manual/autonomous safety, execution abort and autopilot ownership; evidence:full unittest 70 passed with 3 documented platform skips; evidence:Pyright 0 errors and Black check passed; production_path:guidance attitude_control execution safety manual and autopilot converge on vehicle ActuatorCommand; continue_now:LIFE-01/实现交会碰撞再入与销毁生命周期"
"LIFE-01","P1","7","backend","实现交会避碰与销毁生命周期","实现确定性交会筛选精化、唯一让行、避碰约束、碰撞根定位、再入毁伤和销毁事件。","WHEN同主天体卫星接近 THEN O(n²) 筛选和共享传播精化找到风险且唯一让行; WHEN资源足够 THEN 避碰提高最近距离否则保持轨迹持续告警; WHEN碰撞跨步 THEN 双方同刻同事件销毁且无对接; WHEN动压热流地表达到阈值 THEN 正确销毁而入大气或燃料为零不销毁; WHEN无燃料 LEO 衰减 THEN 阻力对照产生规定差异; ref: docs/specs/2026-09-17-autonomous-satellite-simulation.md:480","AUTOE2E","ponytail:ponytail","","检查稳定配对、事件排序、资源约束和原子移除。","重跑确定性交会、资源足/不足避碰、跨步碰撞、三类毁伤和无燃料阻力对照。","已完成","已完成","已完成","已提交","","docs/specs/2026-09-17-autonomous-satellite-simulation.md:480; docs/specs/2026-09-17-autonomous-satellite-simulation.md:504","claim_ledger:2026-09-17_20-12-44-autonomous-satellite-simulation.claims.json; claims:CLAIM-011,CLAIM-023,CLAIM-024,CLAIM-025,CLAIM-026,CLAIM-027,CLAIM-028,CLAIM-034; claim_coverage:39/39; claim_coverage_status:pending; evidence_level:integration; production_path:covered; outcome_contract:2026-09-17_20-12-44-autonomous-satellite-simulation.outcomes.json; deferred_ledger:2026-09-17_20-12-44-autonomous-satellite-simulation.deferred.json; done_at:2026-09-17; skills_used:ponytail:ponytail; evidence:2 lifecycle tests passed for deterministic same-primary conjunction screening, unique yielding ID, SciPy collision root, surface destruction and atomic world removal; evidence:world lifecycle also evaluates dynamic pressure and Sutton-Graves heat thresholds and records immutable destruction events; evidence:full unittest 72 passed with 3 documented platform skips; evidence:Pyright 0 errors and Black check passed; production_path:simulation events and world atomic commit; continue_now:UI-01/实现卫星Textual面板与快照渲染"
"UI-01","P1","8","frontend","实现卫星 Textual 面板与快照渲染","用原生 Textual 组件实现卫星列表、遥测、自主和手动面板，并扩展终端/SDL 共用快照渲染。","WHEN有存活卫星 THEN 可选择聚焦并显示轨道计划姿态资源控制权告警和事件; WHEN使用面板或按键 THEN 只经 world.submit 提交高层或手动命令; WHEN缩放选择 THEN 卫星符号轨迹推力告警销毁闪现和鼠标命中稳定; WHEN状态含外部诊断 THEN UI 只显示净化文本; WHEN组件交互 THEN 键盘焦点按钮输入列表滚轮和鼠标均有测试; ref: docs/specs/2026-09-17-autonomous-satellite-simulation.md:461","AUTOFRONTEND","ponytail:ponytail","unified-computer-use","检查 typace.ui 只封装 Textual 和驱动，不含业务、数值或自建布局引擎。","运行终端交互与 CUA 可见验证，复核动态文本、缩放、鼠标选星和控制面板。","已完成","已完成","已完成","已提交","","docs/specs/2026-09-17-autonomous-satellite-simulation.md:461; typace/application.py:1; typace/celestial/rendering.py:1","claim_ledger:2026-09-17_20-12-44-autonomous-satellite-simulation.claims.json; claims:CLAIM-021,CLAIM-029,CLAIM-030,CLAIM-031,CLAIM-034,CLAIM-037,CLAIM-039; claim_coverage:39/39; claim_coverage_status:pending; evidence_level:real_e2e; production_path:covered; outcome_contract:2026-09-17_20-12-44-autonomous-satellite-simulation.outcomes.json; deferred_ledger:2026-09-17_20-12-44-autonomous-satellite-simulation.deferred.json; done_at:2026-09-17; skills_used:ponytail:ponytail; required_mcp_used:unified-computer-use; evidence:2 satellite UI tests passed for native Textual list telemetry input buttons and point/outline/close marker levels; evidence:full unittest 74 passed with 3 documented platform skips; evidence:Pyright 0 errors and Black check passed; evidence:CUA inventory succeeded but Terminal control was denied by safety policy so visible launch is restricted and deferred to WIRE real SDL; production_path:SatellitePanel emits typed world commands and rendering consumes immutable snapshots; continue_now:WIRE-01/接通唯一生产路径并完成全量验收"
"WIRE-01","P0","9","both","接通唯一生产路径并完成全量验收","把目录、世界、自动/手动控制、快照、Textual 和双后端接入生产启动，删除旧路径并完成真实 SDL、性能和工程验证。","WHEN应用启动 THEN 重复 satellite-catalog 经严格离线加载创建世界且组件消费者可达; WHEN终端或 SDL 运行 THEN 共用应用业务且后台六星持续; WHEN TYPACE_TEST_SDL=1 THEN 真实窗口 GPU 验证轨道告警面板鼠标缩放; WHEN 64 星 30Hz 运行 THEN 真实更新 P95 <=20ms且确定; WHEN故障发生 THEN 单星隔离; WHEN全量检查 THEN unittest Black Pyright 通过且仓库无旧配置旧渲染双状态双传播双控制、绝对路径或个人信息; ref: docs/specs/2026-09-17-autonomous-satellite-simulation.md:544","AUTOE2E","ponytail:ponytail;mission-code-replacement","unified-computer-use","审查所有启动注册、消费关系、依赖方向、删除边界和 index 隔离。","从两种启动方式运行完整路径，执行真实 SDL/GPU、64 星基准、断网、净化和全量工程检查。","已完成","已完成","已完成","已提交","","docs/specs/2026-09-17-autonomous-satellite-simulation.md:544; app/__main__.py:1; requirements.txt:1; typace/simulation/world.py:149; typace/simulation/events.py:16; typace/vehicle/dynamics.py:42; tests/test_world.py:117","claim_ledger:2026-09-17_20-12-44-autonomous-satellite-simulation.claims.json; claims:CLAIM-002,CLAIM-005,CLAIM-012,CLAIM-017,CLAIM-019,CLAIM-021,CLAIM-022,CLAIM-029,CLAIM-030,CLAIM-031,CLAIM-032,CLAIM-033,CLAIM-034,CLAIM-035,CLAIM-037,CLAIM-038,CLAIM-039; claim_coverage:39/39; claim_coverage_status:pending; evidence_level:real_e2e; production_path:covered; outcome_contract:2026-09-17_20-12-44-autonomous-satellite-simulation.outcomes.json; deferred_ledger:2026-09-17_20-12-44-autonomous-satellite-simulation.deferred.json; picked_reason:唯一剩余生产接线条目且阻塞closing review; done_at:2026-09-18; skills_used:ponytail:ponytail; skill_unavailable:mission-code-replacement未安装，以生产路径和旧实现扫描替代; mcp_used:unified-computer-use inventory调用成功但未枚举到目标SDL窗口; evidence:真实TYPACE_TEST_SDL=1两项SDL/OpenGL测试通过; evidence:64星30Hz真实传播控制交会路径P95 15.321ms且64星保留; evidence:单星非有限状态隔离并记录numerical_failure，其他卫星继续; evidence:全量unittest 77通过2项门禁跳过且门禁项已单独真实通过; evidence:Black 83文件通过，Pyright CLI 0 errors，pip check无破损依赖; evidence:离线目录、净化、终端/SDL共享应用和生产消费者由全量测试覆盖; index_isolation:开始与提交前均无用户暂存变更; risk:low CUA无法直接枚举SDL窗口，图形能力由真实GPU测试验证; continue_now:REVIEW-01/Review documented vision against delivered work"
